Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.093937,0.52568,0.79948,0,0,0,36,22.197,1.9214E-31,4.2299E-16,25.65,-4.2299E-16,12.332,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/base_link.STL,,Box-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LR_wheel,0,-0.0381,0,0,0,0,2,0.017437,-3.6104E-35,0,0.031138,1.6175E-34,0.017437,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/LR_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/LR_wheel.STL,,Cylinder-4,Origin_LR_wheel_cont,Axis_LR_wheel_cont,LR_wheel_cont,continuous,-0.21086,-0.46928,0.33518,1.5708,1.5708,0,base_link,0,1,0,0,28.8,,,,,,,,,,
LF_wheel,0,-0.0381,2.2204E-16,0,0,0,2,0.017437,-3.6104E-35,0,0.031138,1.4294E-34,0.017437,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/LF_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/LF_wheel.STL,,Cylinder-3,Origin_LF_wheel_cont,Axis_LF_wheel_cont,LF_wheel_cont,continuous,-0.21086,-1.1297,0.33518,1.5708,1.5708,0,base_link,0,1,0,0,28.8,,,,,,,,,,
RF_wheel,0,-0.0381,2.2204E-16,0,0,0,2,0.017437,-3.6104E-35,4.1762E-50,0.031138,1.0344E-34,0.017437,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/RF_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/RF_wheel.STL,,Cylinder-2,Origin_RF_wheel_cont,Axis_RF_wheel_cont,RF_wheel_cont,continuous,0.39874,-1.1297,0.33518,1.5708,-1.5708,0,base_link,0,1,0,0,28.8,,,,,,,,,,
RR_wheel,0,-0.0381,0,0,0,0,2,0.017437,-3.6104E-35,4.1762E-50,0.031138,1.0344E-34,0.017437,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/RR_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VerySimpleBoxAssembly/meshes/RR_wheel.STL,,Cylinder-1,Origin_RR_wheel_cont,Axis_RR_wheel_cont,RR_wheel_cont,continuous,0.39874,-0.46928,0.33518,1.5708,-1.5708,0,base_link,0,1,0,0,28.8,,,,,,,,,,
